entry_timestamp,exit_timestamp,entry_price,exit_price,entry_level,exit_level,size,pnl,return_pct,holding_period
2025-09-22 17:03:00+00:00,2025-09-22 18:18:00+00:00,112454.65000104054,112634.57744104222,13,13,0.550485925808983,74.26583303613734,0.0011994401119775615,1.25
2025-09-22 13:39:00+00:00,2025-09-22 18:35:00+00:00,112634.57744104222,112814.7927649479,12,12,0.5536913026200653,74.81778635257797,0.0011994401119775643,4.933333333333334
2025-09-22 13:39:00+00:00,2025-09-22 18:35:00+00:00,112634.57744104222,112814.7927649479,12,12,0.004613825216069345,0.6234452079409039,0.0011994401120228708,4.933333333333334
2025-09-22 19:44:00+00:00,2025-09-22 19:53:00+00:00,112095.65693397008,112275.00998506443,15,15,0.5379697658060415,72.34559186659317,0.0011994401119776248,0.15
2025-09-22 19:44:00+00:00,2025-09-22 19:53:00+00:00,112095.65693397008,112275.00998506443,15,15,0.020703244381629626,2.7841498975376453,0.0011994401119772452,0.15
2025-09-22 20:01:00+00:00,2025-09-22 20:28:00+00:00,112095.65693397008,112275.00998506443,15,15,0.5415018528154719,72.82058310488355,0.0011994401119776693,0.45
2025-09-22 20:01:00+00:00,2025-09-22 20:28:00+00:00,112095.65693397008,112275.00998506443,15,15,0.017041539842749143,2.2917278341690235,0.001199440111974976,0.45
2025-09-22 19:36:00+00:00,2025-09-22 20:33:00+00:00,112275.00998506443,112454.65000104054,14,14,0.5472160591137066,73.70676582085434,0.0011994401119776019,0.95
2025-09-22 18:54:00+00:00,2025-09-22 20:44:00+00:00,112454.65000104054,112634.57744104222,13,13,0.5516635919764581,74.42471150127676,0.0011994401119777775,1.8333333333333333
2025-09-22 15:24:00+00:00,2025-09-22 20:55:00+00:00,112634.57744104222,112814.7927649479,12,12,0.5540270043626243,74.86314820158441,0.001199440111977931,5.516666666666667
2025-09-22 16:53:00+00:00,2025-09-22 20:55:00+00:00,112634.57744104222,112814.7927649479,12,12,0.006541426785740323,0.8839132371787173,0.001199440111977693,4.033333333333333
